P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Carrera_Target,Satisfaccion
d,e,d,d,b,d,a,a,d,d,d,d,a,e,d,c,d,d,d,d,Contaduría,4
d,d,b,d,a,d,d,d,d,d,d,b,e,d,b,d,a,b,b,d,Ingeniería Mecatrónica,5
c,a,d,a,d,a,a,a,d,d,d,d,d,d,d,a,d,d,d,a,Administración,4
b,e,d,a,d,d,d,c,d,b,a,c,d,b,e,a,b,e,a,d,Gestión y Dirección,4
c,e,b,e,e,c,b,e,e,c,b,d,e,c,e,b,e,d,d,e,Contaduría,4
e,e,e,c,a,e,d,e,c,d,e,e,d,b,b,c,b,e,e,c,Ingeniería Industrial,5
d,d,b,a,a,a,d,d,d,d,a,d,a,d,d,a,d,c,d,d,Gestión y Dirección,4
c,b,b,b,c,e,b,b,e,b,b,b,b,d,c,b,e,a,d,b,Ingeniería Mecatrónica,4
c,a,e,d,a,a,d,e,d,d,d,e,a,c,c,d,d,e,d,e,Gestión y Dirección,4
e,b,e,c,c,c,d,c,e,d,c,c,e,b,e,b,e,e,c,e,Ingeniería Industrial,4
a,d,b,d,d,b,b,b,d,d,d,d,e,d,e,a,b,d,e,d,Ingeniería de Software,5
d,d,b,b,b,e,e,b,a,c,d,e,c,d,d,e,e,b,b,b,Administración,5
b,c,c,c,b,b,e,e,d,b,c,c,c,e,d,b,b,b,d,e,Ingeniería Civil,5
d,b,e,b,d,e,a,d,b,d,d,b,c,d,a,b,c,b,d,d,Gestión y Dirección,5
e,e,e,e,e,e,d,d,c,e,a,c,c,c,e,b,e,e,a,c,Ingeniería Industrial,5
a,c,b,d,e,b,e,d,d,a,e,b,d,d,d,d,b,a,e,d,Ingeniería Civil,4
b,b,e,e,b,d,d,b,c,c,d,d,c,b,b,b,d,e,d,d,Ingeniería Industrial,5
d,d,b,d,d,d,e,d,a,c,e,b,b,d,c,d,d,b,d,d,Ingeniería Mecánica Eléctrica,5
d,e,e,b,b,b,b,e,d,b,b,d,b,b,b,b,b,a,b,e,Ingeniería Industrial,5
a,d,c,a,a,a,d,a,d,a,d,b,d,a,d,a,d,d,a,a,Contaduría,4
d,c,d,d,c,b,b,d,d,d,d,d,d,d,d,c,c,c,d,b,Ingeniería Civil,4
e,c,e,d,d,d,d,d,b,d,d,b,d,c,a,e,c,e,d,b,Contaduría,5
d,d,a,d,b,d,c,a,d,e,d,a,d,d,b,d,a,b,d,d,Ingeniería de Software,4
b,d,c,b,e,b,d,b,b,b,b,c,c,c,a,e,d,a,c,c,Administración,5
c,c,e,e,d,e,d,b,d,d,b,d,c,b,d,e,d,d,c,d,Gestión y Dirección,5
c,d,c,d,d,d,e,a,d,d,a,a,d,b,d,b,d,d,c,d,Ingeniería Civil,4
b,e,d,a,b,d,b,d,b,b,b,d,b,e,d,e,b,b,d,d,Contaduría,5
b,d,e,e,c,b,b,e,b,c,b,b,c,c,e,b,e,d,b,b,Contaduría,5
d,d,d,a,d,d,d,a,b,a,a,d,a,c,d,a,d,c,a,d,Ingeniería Industrial,4
d,d,d,a,d,a,d,a,a,d,d,d,d,a,d,d,d,d,a,a,Contaduría,5
d,d,e,d,a,d,a,d,b,e,e,d,e,b,b,d,c,c,d,b,Contaduría,5
c,e,e,e,b,b,d,b,e,b,e,c,b,b,e,e,e,d,b,b,Ingeniería Industrial,5
b,b,c,e,e,b,b,c,e,b,c,e,c,e,e,b,c,a,d,c,Ingeniería Mecatrónica,5
c,d,e,c,d,c,d,b,e,c,d,e,d,c,b,b,e,e,e,c,Contaduría,5
c,d,d,a,d,b,d,b,b,d,d,e,a,d,d,d,b,d,d,b,Administración,5
d,b,c,e,d,b,d,e,c,b,e,b,b,d,e,b,d,a,b,d,Ingeniería Mecatrónica,4
d,d,d,b,b,b,d,d,b,e,b,c,e,d,e,e,d,e,c,c,Gestión y Dirección,5
a,a,b,b,d,d,d,a,d,d,d,b,a,d,d,d,d,d,a,d,Ingeniería Civil,5
c,c,b,e,d,a,b,c,d,a,d,d,e,b,c,d,d,d,d,b,Ingeniería Mecánica Eléctrica,5
b,b,d,e,d,b,d,b,d,d,a,d,a,b,b,d,d,e,e,b,Gestión y Dirección,5
d,a,a,d,d,e,a,d,a,a,d,d,d,a,b,a,a,d,a,d,Ingeniería de Software,5
b,d,d,d,b,d,d,c,d,d,b,c,d,d,d,d,d,c,b,b,Gestión y Dirección,4
d,a,b,d,c,e,b,d,d,b,b,d,e,a,b,c,d,b,c,d,Ingeniería Mecatrónica,5
e,e,d,c,b,c,b,c,e,c,b,c,b,e,c,b,c,d,d,c,Gestión y Dirección,5
d,c,a,a,d,b,a,e,a,c,d,a,b,d,b,d,d,b,b,d,Ingeniería de Software,5
a,a,d,d,a,d,d,b,a,a,d,d,d,a,d,a,d,a,a,d,Administración,4
e,e,e,c,d,b,e,b,e,c,d,c,e,b,c,e,e,e,d,c,Ingeniería Industrial,5
c,d,b,a,d,a,e,a,d,e,a,b,e,d,d,d,b,b,e,a,Ingeniería Civil,5
c,e,e,c,b,c,b,b,e,b,b,e,b,b,c,b,e,e,b,e,Ingeniería Industrial,5
a,a,a,d,e,d,b,d,d,d,c,b,c,d,d,c,d,b,c,b,Ingeniería de Software,4
a,d,a,d,c,b,b,d,a,b,b,a,c,a,b,c,b,b,b,a,Ingeniería de Software,5
d,d,b,d,e,d,d,e,c,d,a,e,d,a,b,d,b,b,d,b,Contaduría,4
a,a,b,e,d,d,c,e,a,d,d,d,d,d,b,d,d,c,e,e,Ingeniería Mecatrónica,5
b,d,d,e,d,e,a,b,b,a,a,d,d,c,a,d,b,c,d,d,Contaduría,4
a,d,b,a,a,a,d,a,a,a,a,a,d,b,d,a,a,a,a,a,Administración,5
a,d,c,d,c,d,e,d,d,e,d,b,c,d,d,a,e,b,d,a,Ingeniería Civil,5
c,b,d,d,c,d,e,e,b,d,c,d,e,c,b,e,b,d,c,d,Ingeniería Industrial,5
c,c,d,b,b,d,d,d,c,b,b,c,d,b,d,b,e,d,c,d,Gestión y Dirección,4
b,d,a,b,d,d,b,b,b,d,c,b,c,d,b,b,b,d,c,d,Ingeniería Mecatrónica,5
d,b,b,b,b,c,e,b,d,b,d,a,b,b,b,d,d,d,d,e,Ingeniería Mecánica Eléctrica,5
a,a,b,d,a,d,d,d,a,a,a,d,a,a,d,a,a,d,a,b,Ingeniería Mecatrónica,5
d,d,a,d,d,d,a,e,b,d,d,b,d,d,b,b,d,d,b,d,Ingeniería Mecatrónica,4
b,d,d,b,d,d,d,e,b,e,d,b,e,d,d,c,a,c,d,b,Gestión y Dirección,4
d,b,b,d,b,d,b,c,b,b,c,a,c,d,d,d,d,a,b,d,Ingeniería Mecatrónica,4
d,b,b,e,c,d,e,a,a,c,b,d,b,d,d,a,d,b,b,d,Ingeniería de Software,5
e,e,e,b,c,c,c,e,b,c,c,d,c,c,b,c,b,c,a,d,Gestión y Dirección,5
c,b,b,d,c,b,b,e,c,d,b,c,c,b,c,d,e,d,b,e,Ingeniería Mecatrónica,4
d,d,c,d,c,d,a,b,d,d,d,d,c,d,c,b,d,d,c,e,Ingeniería Mecatrónica,5
c,b,b,d,e,d,e,a,d,c,b,b,c,e,d,b,c,b,b,d,Gestión y Dirección,4
e,c,e,e,d,e,a,b,c,d,d,e,d,e,b,d,c,d,a,d,Gestión y Dirección,5
a,a,c,a,a,a,d,a,d,a,d,a,a,a,d,a,d,d,d,a,Ingeniería Civil,5
a,a,b,a,d,a,e,d,d,d,d,a,e,a,d,a,a,b,d,a,Ingeniería de Software,5
d,b,d,d,e,d,d,d,d,d,a,b,d,b,b,d,d,d,a,b,Gestión y Dirección,5
a,a,b,d,d,e,b,b,d,d,d,d,d,a,e,a,d,d,e,d,Ingeniería Mecatrónica,5
e,b,b,c,c,b,b,b,c,b,b,d,c,e,c,b,e,b,b,b,Ingeniería Civil,5
d,d,c,d,d,e,b,b,b,e,b,d,c,b,b,c,b,e,b,e,Contaduría,5
c,d,b,d,a,d,d,d,d,d,a,a,d,d,b,e,b,d,a,d,Contaduría,5
d,b,b,d,b,d,b,d,b,b,b,b,e,c,a,e,d,b,b,b,Ingeniería Mecánica Eléctrica,5
d,a,d,d,a,e,d,d,d,d,d,d,a,d,d,e,a,b,b,a,Ingeniería Civil,5
d,d,d,d,c,d,b,e,a,e,e,a,e,c,d,e,d,b,d,d,Ingeniería Mecánica Eléctrica,5
d,d,b,d,d,d,d,d,d,d,d,b,d,e,a,c,d,d,c,b,Ingeniería Mecatrónica,5
d,a,b,d,d,e,c,d,b,d,d,b,a,c,d,c,d,d,d,a,Ingeniería Civil,5
a,d,b,a,d,a,c,d,d,a,a,b,d,a,d,a,d,b,a,a,Ingeniería Mecánica Eléctrica,5
e,c,d,c,d,c,a,d,c,d,d,c,d,c,c,a,b,d,d,d,Gestión y Dirección,5
b,d,e,e,d,e,d,d,c,d,d,c,a,d,b,a,b,e,a,e,Ingeniería Industrial,5
c,c,a,e,e,c,b,c,e,b,c,b,b,c,e,d,d,b,d,b,Ingeniería Mecánica Eléctrica,5
b,b,d,d,b,d,b,d,d,b,b,b,b,b,d,e,d,a,c,b,Contaduría,5
d,c,b,d,b,d,b,e,d,e,b,a,b,b,b,e,b,b,c,d,Ingeniería Mecatrónica,5
b,d,a,c,d,b,c,c,d,b,e,c,e,c,d,b,d,e,c,c,Ingeniería Industrial,5
d,b,d,b,d,b,d,d,a,d,a,a,d,c,d,d,b,d,d,a,Gestión y Dirección,4
a,d,b,d,e,e,c,e,a,e,d,b,b,d,d,c,d,b,c,d,Ingeniería Mecatrónica,5
a,c,a,d,d,d,b,e,d,d,b,a,d,a,e,d,d,d,d,d,Ingeniería de Software,5
d,a,b,d,b,b,c,d,d,d,a,a,d,c,b,b,d,a,a,d,Ingeniería de Software,4
c,d,d,a,d,d,d,d,b,a,e,a,e,e,b,d,d,d,e,d,Gestión y Dirección,5
b,b,b,e,b,b,c,e,b,d,c,d,b,d,c,b,b,a,d,b,Ingeniería Mecatrónica,5
d,c,e,d,d,d,d,d,d,e,e,a,d,d,d,c,d,b,a,d,Administración,5
d,c,c,b,c,d,c,d,c,d,e,a,e,e,d,b,d,a,d,c,Ingeniería Mecatrónica,5
b,e,d,b,c,b,c,c,e,b,b,b,b,e,c,b,e,b,d,e,Gestión y Dirección,5
e,b,d,e,b,b,e,b,c,b,c,e,b,e,e,e,e,c,c,d,Gestión y Dirección,4
a,d,b,d,a,d,b,b,d,d,d,b,e,d,a,b,a,b,d,a,Ingeniería Mecatrónica,4
d,d,b,d,e,e,e,d,a,d,d,a,d,d,d,d,d,b,c,d,Ingeniería de Software,5
d,d,c,d,d,a,c,d,a,c,e,a,e,d,b,d,d,b,b,b,Ingeniería Civil,4
e,e,b,e,b,b,b,c,c,b,e,d,b,e,e,b,c,a,b,b,Ingeniería Civil,5
e,b,d,c,c,c,c,b,c,b,c,d,b,c,c,b,c,e,b,e,Contaduría,5
d,d,e,d,d,d,d,a,b,d,e,a,e,d,d,c,d,d,e,d,Ingeniería Mecánica Eléctrica,5
a,d,a,a,c,b,b,d,a,b,b,a,e,d,a,b,d,b,d,a,Ingeniería de Software,4
d,a,d,d,a,d,d,a,b,a,d,b,d,a,e,a,d,c,d,d,Ingeniería Civil,5
e,e,e,c,b,c,c,b,e,c,c,c,b,e,a,b,e,c,d,e,Ingeniería Industrial,5
d,c,b,d,c,d,c,d,d,d,c,b,e,b,d,e,b,a,c,d,Ingeniería Mecánica Eléctrica,5
c,e,e,d,b,c,e,d,c,e,b,d,e,c,b,e,c,c,d,e,Ingeniería Industrial,5
b,d,d,d,c,e,d,b,d,b,b,b,b,a,b,b,d,a,b,e,Ingeniería Mecánica Eléctrica,4
d,b,e,d,a,e,a,b,d,d,d,d,d,d,e,e,c,d,b,b,Contaduría,5
d,d,b,d,d,d,e,b,a,c,d,b,d,d,d,c,a,b,d,d,Ingeniería de Software,5
d,d,b,c,c,b,c,b,d,c,d,b,b,d,e,b,b,d,b,b,Ingeniería Mecatrónica,5
c,b,d,b,d,b,a,d,c,c,d,c,d,b,c,c,e,e,d,d,Ingeniería Industrial,5
d,e,e,d,d,d,d,d,d,d,e,e,d,e,d,d,d,d,d,d,Ingeniería Industrial,5
b,d,d,b,a,b,e,b,e,d,e,d,c,d,b,d,b,d,a,b,Administración,5
a,a,b,b,d,c,c,c,b,b,e,e,b,c,d,c,b,d,b,e,Ingeniería Civil,4
c,b,d,e,b,c,c,c,b,e,b,e,b,e,b,b,e,d,d,e,Gestión y Dirección,5
b,a,b,a,d,a,d,a,d,a,d,b,a,d,a,d,a,d,d,a,Ingeniería Mecatrónica,5
b,b,d,e,e,b,a,d,a,e,c,c,d,b,a,e,d,d,e,b,Contaduría,5
b,a,b,e,a,d,d,d,a,d,d,d,d,a,d,a,a,d,e,b,Contaduría,4
e,b,d,c,b,c,a,b,b,b,b,c,b,b,e,e,c,d,b,e,Gestión y Dirección,4
b,d,c,d,d,b,b,d,e,e,e,b,b,d,c,d,d,d,b,b,Administración,4
c,e,b,c,b,e,b,d,c,b,c,b,b,b,c,e,b,b,c,e,Gestión y Dirección,5
d,d,a,d,d,d,d,d,d,e,a,b,d,d,d,a,d,b,e,d,Ingeniería Mecánica Eléctrica,5
b,c,d,a,d,d,b,a,d,a,a,b,d,c,b,d,d,d,a,d,Ingeniería Civil,5
c,e,d,e,b,b,a,d,c,c,b,d,c,b,b,c,b,c,d,e,Ingeniería Industrial,5
a,d,a,d,a,a,d,a,a,a,d,a,a,d,d,d,d,a,e,a,Ingeniería Civil,4
d,a,a,b,e,c,a,c,d,d,d,b,c,d,b,d,a,a,b,d,Ingeniería de Software,5
b,b,a,d,c,b,c,b,e,b,d,d,c,d,b,d,d,a,d,d,Ingeniería Mecatrónica,5
e,e,b,c,b,c,b,c,e,b,b,d,b,e,c,b,c,d,c,c,Ingeniería Civil,5
a,a,b,a,a,d,d,d,d,a,a,d,a,d,a,a,d,c,a,a,Ingeniería Mecánica Eléctrica,4
d,b,b,a,a,d,d,a,a,d,c,a,a,a,d,d,a,b,d,a,Ingeniería Civil,5
d,c,d,b,c,e,d,c,d,c,d,c,e,c,e,c,b,d,b,b,Ingeniería Industrial,5
d,c,d,d,b,d,b,d,d,e,e,a,b,c,d,e,d,b,c,d,Ingeniería Mecatrónica,5
b,d,d,d,e,e,d,a,b,b,d,a,d,c,d,d,d,d,b,d,Ingeniería Mecánica Eléctrica,5
a,d,b,a,a,d,a,a,a,a,d,d,d,d,a,a,d,c,a,a,Ingeniería Mecatrónica,5
c,b,b,d,b,e,b,b,b,b,c,d,c,b,b,b,b,d,d,d,Ingeniería Civil,4
d,b,d,c,b,c,a,d,d,c,b,a,c,e,b,b,d,d,b,d,Administración,5
c,d,d,e,d,d,d,b,d,c,d,c,a,d,a,d,d,d,e,d,Gestión y Dirección,5
d,e,e,b,d,d,d,d,e,a,a,d,a,c,e,c,e,e,a,d,Gestión y Dirección,4
d,d,a,e,d,e,b,d,d,e,e,d,d,d,c,e,d,d,d,d,Ingeniería Mecatrónica,5
d,d,b,d,a,b,c,a,a,a,d,b,d,a,d,a,d,d,d,d,Ingeniería de Software,5
d,a,a,a,d,a,d,d,a,a,a,a,d,a,d,a,a,b,d,a,Ingeniería Mecánica Eléctrica,5
b,d,d,d,d,c,e,b,a,e,d,d,c,d,b,a,d,b,c,d,Ingeniería Mecatrónica,5
e,e,b,e,c,e,b,c,b,b,b,b,c,e,c,c,e,a,b,e,Ingeniería de Software,5
c,b,e,b,a,d,d,a,c,a,d,c,a,d,d,c,c,e,a,b,Ingeniería Industrial,5
b,e,d,e,b,c,e,d,c,c,b,d,b,c,b,b,e,d,d,e,Ingeniería Industrial,5
b,b,d,b,e,e,d,e,b,b,c,d,d,b,b,d,b,d,c,b,Contaduría,5
a,a,b,a,d,d,d,a,a,a,a,b,a,d,d,d,a,b,b,a,Ingeniería de Software,5
a,d,b,d,d,b,e,d,a,d,a,d,d,a,d,d,a,b,d,a,Ingeniería de Software,5
e,e,e,e,b,c,b,c,e,b,b,e,b,e,c,b,e,e,b,c,Gestión y Dirección,4
d,b,a,b,b,b,b,e,d,b,d,b,c,b,b,e,a,b,b,d,Ingeniería de Software,5
c,e,d,e,b,d,c,b,b,b,e,e,c,e,e,c,c,d,e,c,Ingeniería Industrial,5
c,b,d,c,e,e,a,d,b,b,c,d,b,c,d,e,c,d,b,d,Contaduría,5
d,d,b,d,d,b,d,d,d,d,d,c,d,d,c,a,d,d,d,b,Ingeniería Mecatrónica,5
a,a,a,b,a,d,d,d,d,d,d,c,d,a,d,d,d,b,b,b,Contaduría,4
b,e,d,d,b,d,b,b,d,d,b,d,e,e,d,e,b,b,d,b,Gestión y Dirección,5
d,d,d,b,d,d,d,d,d,a,d,e,a,d,d,d,b,e,d,d,Ingeniería Industrial,5
b,b,d,e,c,d,e,b,b,e,b,d,b,b,a,b,b,b,b,e,Contaduría,5
d,d,a,d,c,e,c,d,b,e,b,a,c,d,b,a,d,a,b,b,Ingeniería de Software,5
d,d,e,d,a,d,d,d,d,a,d,e,a,b,d,a,e,d,a,d,Contaduría,5
a,d,d,a,d,d,a,e,d,d,d,b,a,d,d,d,d,e,e,d,Administración,5
b,e,d,e,d,c,a,e,e,d,d,b,c,e,c,d,e,d,a,b,Ingeniería Civil,5
e,d,b,b,a,e,b,d,d,d,d,d,c,c,c,d,c,c,d,d,Ingeniería Civil,4
e,e,e,c,b,c,c,b,e,d,c,d,d,e,d,d,d,e,d,b,Ingeniería Civil,4
e,e,e,c,b,c,b,c,c,b,b,d,b,e,b,b,e,a,c,c,Ingeniería Industrial,5
c,d,b,d,d,a,d,d,d,e,d,b,d,a,d,a,d,d,e,d,Administración,4
c,e,d,e,c,b,a,b,e,b,b,e,b,e,d,c,e,c,d,b,Contaduría,4
d,c,d,d,e,e,d,d,b,c,d,b,c,d,e,d,d,d,b,d,Ingeniería Civil,5
d,a,e,c,a,d,d,d,d,d,a,e,d,a,b,a,d,d,e,d,Administración,5
b,b,e,e,d,e,d,b,c,e,d,e,d,b,b,b,c,e,d,d,Gestión y Dirección,5
