P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,Carrera_Target,Satisfaccion
a,a,d,a,a,a,a,a,a,a,a,d,a,a,d,a,a,a,a,a,Ingeniería de Software,5
a,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,b,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,e,a,a,a,a,a,a,a,d,a,d,Ingeniería de Software,5
a,a,c,a,a,a,a,a,a,a,e,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,e,a,a,a,a,Ingeniería de Software,5
d,a,d,a,a,d,a,a,a,d,a,a,a,a,e,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,d,a,a,a,a,a,d,a,a,a,a,b,e,a,a,a,a,Ingeniería de Software,5
d,a,a,a,a,e,a,a,a,a,a,a,a,a,a,a,a,d,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,e,a,a,d,a,a,a,a,a,b,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,d,a,a,d,a,a,a,a,d,a,a,d,Ingeniería de Software,5
a,a,a,a,d,a,a,a,a,a,e,c,d,a,a,a,a,a,a,c,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,d,a,a,e,a,a,a,d,a,Ingeniería de Software,5
e,a,a,c,a,b,a,a,a,a,a,a,a,a,a,a,a,a,a,d,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,d,a,a,Ingeniería de Software,5
a,a,a,a,a,a,d,a,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,5
a,d,a,a,a,a,a,a,a,a,d,a,a,a,a,a,d,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,b,d,a,a,a,Ingeniería de Software,5
a,a,a,a,d,a,a,a,a,a,a,d,e,a,a,a,a,a,a,a,Ingeniería de Software,5
d,a,a,a,a,a,a,e,a,a,a,a,a,a,a,a,a,a,a,d,Ingeniería de Software,5
d,d,a,a,a,a,a,e,d,a,a,d,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,e,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,5
a,e,a,a,a,a,a,a,a,a,b,a,a,a,a,a,b,d,a,a,Ingeniería de Software,4
b,a,a,a,a,a,a,a,a,a,d,a,d,a,a,d,a,a,a,a,Ingeniería de Software,5
a,a,e,a,c,a,a,a,a,a,a,a,e,a,a,a,a,d,a,a,Ingeniería de Software,5
d,d,a,a,a,a,a,a,a,a,c,a,d,a,a,b,a,a,a,a,Ingeniería de Software,5
a,a,a,e,a,a,d,a,a,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,d,Ingeniería de Software,4
a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,Ingeniería de Software,5
a,a,a,a,a,a,a,e,a,a,a,a,a,a,d,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,d,a,Ingeniería de Software,5
a,a,a,a,a,a,a,d,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,d,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,d,a,a,b,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,d,a,a,a,d,a,a,a,a,a,a,a,a,b,a,d,Ingeniería de Software,4
a,d,a,a,a,a,d,a,a,a,a,a,d,a,a,d,d,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
b,a,a,a,a,c,a,a,a,d,e,a,a,a,a,a,a,d,a,a,Ingeniería de Software,5
a,a,b,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,Ingeniería de Software,4
d,a,a,a,d,a,a,a,a,a,a,a,d,a,d,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,c,a,a,a,a,c,a,a,a,a,a,Ingeniería de Software,5
d,a,a,d,a,a,a,a,d,a,a,b,a,a,a,a,a,a,d,a,Ingeniería de Software,4
a,a,a,a,a,a,e,d,a,d,a,a,a,a,d,a,a,a,a,d,Ingeniería de Software,5
a,a,a,a,a,a,a,d,a,a,a,d,a,b,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,d,c,a,a,a,d,a,a,a,c,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,c,a,a,c,a,a,a,c,a,d,a,a,a,a,a,d,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,e,a,d,a,a,a,a,a,c,Ingeniería de Software,5
a,a,d,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,d,a,a,a,a,a,b,b,a,a,d,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,b,d,a,e,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,d,a,a,a,c,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,d,a,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,4
d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,Ingeniería de Software,5
b,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,d,a,d,a,d,a,a,a,d,a,a,a,a,d,a,a,a,Ingeniería de Software,4
a,a,a,a,d,a,b,a,a,a,a,a,a,a,a,a,a,d,a,a,Ingeniería de Software,5
a,a,a,d,a,a,a,a,d,a,a,a,a,a,a,d,d,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,d,Ingeniería de Software,5
a,a,d,a,d,a,a,a,a,a,a,a,a,a,d,a,d,a,d,d,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,e,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,d,a,a,a,d,a,a,a,a,a,a,a,d,a,a,a,d,d,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,5
a,b,d,a,a,a,b,a,a,e,a,a,a,d,a,a,c,a,d,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,a,a,Ingeniería de Software,4
a,a,b,a,a,a,a,a,a,a,a,a,a,c,a,a,a,d,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,c,a,d,a,a,a,a,a,d,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,Ingeniería de Software,5
a,a,b,c,d,a,a,d,a,a,d,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,d,a,d,a,e,a,a,a,c,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,e,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,a,b,a,a,d,a,b,d,Ingeniería de Software,4
a,a,d,d,a,a,a,a,a,a,d,a,a,d,a,a,d,a,a,a,Ingeniería de Software,5
a,d,a,a,a,c,d,a,a,a,a,a,d,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,d,a,a,a,d,a,a,a,a,d,a,d,a,Ingeniería de Software,4
a,a,a,a,a,c,a,a,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,5
d,a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,Ingeniería de Software,5
a,d,a,a,a,a,e,d,a,a,a,d,a,a,e,d,a,a,a,a,Ingeniería de Software,4
a,a,a,d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,d,a,a,a,a,a,a,d,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,d,a,e,a,a,a,a,d,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,d,a,a,a,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,a,Ingeniería de Software,5
d,a,a,a,a,a,a,e,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,4
a,a,a,a,a,b,b,a,a,a,a,a,a,a,a,d,d,a,a,a,Ingeniería de Software,4
a,a,a,a,a,a,a,a,a,d,a,d,a,a,a,a,a,a,d,a,Ingeniería de Software,5
d,a,a,a,a,a,a,a,a,a,a,a,a,a,a,a,d,a,a,a,Ingeniería de Software,5
a,d,a,d,a,b,a,a,a,d,a,d,a,a,a,d,a,a,d,d,Ingeniería de Software,4
a,a,a,a,a,a,d,a,a,a,c,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,a,c,a,a,a,a,a,a,a,a,d,d,a,a,e,a,Ingeniería de Software,4
a,a,a,a,d,c,a,a,a,a,a,a,a,a,a,a,a,a,a,a,Ingeniería de Software,5
a,a,a,a,d,d,a,a,a,a,a,a,a,a,a,a,a,a,a,d,Ingeniería de Software,5
a,a,a,a,a,a,a,a,a,a,a,a,a,c,a,a,a,a,a,a,Ingeniería de Software,5
a,a,e,a,a,a,a,a,a,a,a,a,a,a,a,a,e,a,a,a,Ingeniería de Software,5
b,b,b,b,b,b,b,b,a,b,c,b,b,b,b,b,b,e,b,b,Ingeniería Mecatrónica,5
c,b,a,b,b,b,b,b,b,b,a,a,b,b,b,d,b,b,b,b,Ingeniería Mecatrónica,4
b,b,b,b,e,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,a,b,b,b,b,b,b,b,b,b,d,b,b,b,b,b,d,b,d,Ingeniería Mecatrónica,5
b,b,b,d,b,b,b,b,a,b,b,b,a,a,b,b,b,e,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,4
b,b,b,a,b,b,b,b,c,a,b,b,b,e,b,b,b,b,b,b,Ingeniería Mecatrónica,4
b,b,b,b,b,b,a,b,b,b,b,b,a,b,b,b,b,b,b,b,Ingeniería Mecatrónica,4
a,b,b,b,b,b,b,b,b,a,b,b,b,a,b,b,b,a,b,b,Ingeniería Mecatrónica,4
b,b,d,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,d,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,a,b,b,b,c,b,b,b,b,b,a,b,b,a,b,a,Ingeniería Mecatrónica,5
b,a,b,b,b,b,b,b,b,b,b,b,b,c,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,4
b,b,b,b,b,b,b,b,b,b,a,b,b,b,a,a,b,b,b,d,Ingeniería Mecatrónica,5
b,a,b,b,b,a,a,b,b,b,b,b,b,b,b,a,b,b,b,b,Ingeniería Mecatrónica,5
d,b,b,b,b,b,b,b,b,b,b,d,b,d,b,b,b,b,b,b,Ingeniería Mecatrónica,4
b,b,b,b,a,b,a,b,a,a,a,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,a,b,b,b,b,b,b,b,b,b,e,b,e,a,a,a,a,b,Ingeniería Mecatrónica,5
b,e,b,b,b,b,b,b,b,b,b,b,b,b,e,e,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,c,b,b,b,b,Ingeniería Mecatrónica,5
b,a,b,b,a,b,b,b,b,b,b,b,b,b,a,b,b,e,a,b,Ingeniería Mecatrónica,5
b,b,b,a,b,b,a,b,e,b,b,b,b,a,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,a,b,b,e,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,4
b,b,b,b,b,b,b,e,b,b,b,b,e,b,b,b,b,a,e,b,Ingeniería Mecatrónica,4
a,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,a,b,b,b,b,b,d,a,b,b,b,b,b,b,b,b,b,a,b,Ingeniería Mecatrónica,4
a,b,b,b,b,b,b,a,b,e,c,b,d,b,b,b,b,d,a,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,b,b,b,a,a,b,b,a,b,b,a,c,b,Ingeniería Mecatrónica,5
a,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,4
b,b,b,e,b,b,b,b,b,b,b,b,b,b,b,a,a,b,b,b,Ingeniería Mecatrónica,4
b,b,b,b,b,b,a,b,b,b,a,b,b,b,b,b,b,a,b,b,Ingeniería Mecatrónica,5
b,b,d,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,b,b,b,b,b,b,b,e,e,a,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,a,e,Ingeniería Mecatrónica,4
a,b,b,b,b,b,b,b,b,a,b,b,b,b,a,b,b,b,b,a,Ingeniería Mecatrónica,4
b,b,a,b,a,b,b,b,b,b,a,b,b,b,b,a,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,a,b,b,b,a,b,e,b,b,b,b,b,b,b,a,b,b,Ingeniería Mecatrónica,5
b,b,b,d,b,a,b,b,b,b,b,b,d,b,d,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,e,b,b,a,b,b,a,b,b,b,b,b,b,b,d,b,Ingeniería Mecatrónica,5
b,b,a,b,b,a,d,b,b,b,b,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,a,b,b,b,b,b,b,b,b,b,a,c,b,c,b,b,b,Ingeniería Mecatrónica,5
b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,Ingeniería Mecatrónica,4
b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,a,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,a,b,b,b,e,b,a,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,a,b,b,b,b,b,b,b,b,b,b,a,a,a,b,b,a,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,a,Ingeniería Mecatrónica,5
b,b,b,b,a,b,b,b,b,b,b,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,5
a,b,b,b,b,b,b,b,c,b,b,b,a,b,b,b,b,a,b,b,Ingeniería Mecatrónica,4
b,b,b,b,b,b,b,b,b,b,b,b,b,a,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,a,b,b,b,a,b,c,b,b,b,b,b,e,Ingeniería Mecatrónica,5
b,d,a,a,b,d,b,b,b,b,b,b,b,b,b,b,c,b,b,b,Ingeniería Mecatrónica,5
b,b,a,b,b,b,b,b,a,b,b,b,b,b,b,a,b,b,b,b,Ingeniería Mecatrónica,4
b,b,b,b,b,b,b,b,b,b,b,b,b,e,b,b,b,a,b,b,Ingeniería Mecatrónica,5
b,b,b,a,b,a,c,b,b,b,b,b,b,b,a,b,b,b,a,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,a,b,b,a,b,b,b,b,c,b,b,b,b,Ingeniería Mecatrónica,5
b,c,b,b,d,b,b,b,b,b,a,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,b,b,a,a,b,b,b,b,b,b,b,b,b,b,Ingeniería Mecatrónica,5
b,b,b,b,b,b,a,e,b,b,b,b,b,b,b,b,a,b,a,b,Ingeniería Mecatrónica,5
