Carrera_Target,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14,Q15,Q16,Q17,Q18,Q19,Q20,Q21,Q22,Q23,Q24,Q25
Gestion,2,2,2,3,2,4,4,1,2,1,3,4,1,3,2,3,2,1,2,1,4,3,2,1,e
Mecanica,1,1,2,3,2,3,4,3,1,1,2,1,2,3,5,1,3,5,3,1,2,5,2,2,c
Gestion,2,3,1,3,1,3,4,2,1,2,2,4,1,2,2,3,2,3,2,2,4,3,2,1,f
Civil,2,3,4,4,1,3,4,4,3,3,5,1,2,4,5,2,3,3,5,1,3,3,4,5,c
Administracion,2,3,2,1,3,5,2,2,2,3,2,2,3,3,1,3,1,1,3,1,3,3,3,1,f
Industrial,2,3,1,2,2,4,5,1,3,3,1,3,2,5,2,1,2,1,2,3,1,5,1,2,f
Administracion,3,1,1,1,5,5,3,1,2,1,3,3,3,1,1,2,1,2,3,2,4,4,3,2,e
Mecanica,2,3,4,4,2,5,5,2,3,3,2,1,2,3,5,2,3,4,2,1,3,3,3,3,c
Administracion,2,2,1,2,4,5,2,3,3,1,1,5,1,1,3,4,1,1,1,1,5,2,2,2,e
Mecatronica,1,1,2,4,1,2,4,1,2,5,3,2,1,1,4,3,3,4,3,3,2,2,2,4,b
Gestion,1,3,1,4,1,3,4,2,1,4,3,4,1,2,1,3,2,3,4,2,4,2,3,5,d
Contaduria,4,2,3,2,5,3,1,3,2,1,1,3,5,3,1,3,1,2,3,4,1,3,4,2,d
Industrial,1,3,2,3,2,4,5,1,3,3,1,5,2,3,2,3,1,4,2,2,4,3,3,2,e
Mecatronica,2,3,1,5,2,3,4,2,2,5,2,1,2,3,5,2,2,5,1,1,3,3,1,4,c
Mecatronica,2,3,1,5,2,3,3,1,1,4,1,3,2,2,5,3,2,4,1,2,1,1,3,5,b
Software,2,5,1,1,2,3,3,1,4,4,1,2,2,1,3,1,4,2,2,2,1,3,3,4,f
Industrial,1,2,3,1,2,4,5,1,2,3,1,3,2,4,2,2,2,2,2,2,2,5,2,2,e
Civil,4,1,5,1,3,2,2,4,1,1,5,2,4,2,1,1,2,2,4,2,1,1,4,3,a
Gestion,2,3,2,1,3,5,3,2,3,3,3,2,2,3,1,5,1,1,4,2,3,3,3,2,f
Mecanica,1,3,1,4,1,3,4,2,1,1,1,1,1,2,5,2,2,4,2,1,1,5,1,2,c
Mecatronica,1,2,3,5,3,1,5,1,3,5,1,2,3,2,4,3,2,4,1,2,1,3,2,4,c
Contaduria,5,4,4,1,3,2,1,2,3,3,2,2,4,3,2,2,3,2,3,5,2,1,4,1,a
Civil,4,2,3,2,3,1,2,5,2,1,4,1,1,1,2,1,1,3,5,4,1,2,5,1,a
Contaduria,2,3,2,1,5,1,2,2,3,3,1,2,3,2,2,3,3,1,1,4,4,3,2,2,d
Gestion,4,1,1,2,4,5,1,3,2,1,2,3,1,1,1,3,1,3,3,2,5,3,3,1,d
Civil,1,2,4,1,3,1,5,5,3,3,4,1,3,3,1,1,3,1,5,1,2,1,5,3,c
Administracion,3,1,1,3,4,3,2,3,1,2,1,3,4,2,5,4,3,3,1,4,4,2,2,2,d
Administracion,1,2,2,3,4,4,3,1,2,3,1,5,1,2,1,5,1,3,1,2,4,1,3,2,e
Administracion,1,2,2,1,4,4,4,1,3,3,1,5,1,2,2,5,3,3,1,4,4,3,2,3,e
Mecanica,1,2,3,4,3,1,5,1,1,2,1,1,3,2,4,1,2,4,2,1,1,4,2,2,c
Civil,2,2,4,2,3,1,2,5,3,2,3,1,1,1,2,2,3,2,5,3,2,2,4,3,c
Administracion,4,2,1,2,4,3,1,3,2,1,2,3,4,1,1,4,1,3,3,4,5,2,3,2,d
Administracion,2,3,1,2,5,5,2,3,3,2,2,4,4,1,2,4,2,2,2,3,4,1,2,2,f
Administracion,2,2,3,2,4,5,1,3,2,1,3,4,1,3,3,4,2,2,3,2,5,2,4,1,f
Industrial,2,3,2,2,2,5,5,2,3,4,1,2,2,5,2,1,2,1,2,1,3,4,1,2,f
Mecanica,3,1,3,4,1,1,4,3,2,2,3,2,1,2,4,2,2,4,3,1,2,4,2,1,c
Contaduria,3,3,2,1,4,4,2,2,1,3,3,2,4,2,1,4,3,3,1,4,3,3,1,2,d
Mecanica,2,3,2,5,2,3,5,2,3,1,2,1,2,3,5,2,3,4,1,1,3,4,1,2,b
Contaduria,5,3,1,2,4,1,2,2,3,2,2,2,4,1,2,3,3,1,3,4,3,3,3,3,d
Civil,3,1,5,3,3,1,4,5,1,1,5,3,1,2,5,1,1,3,5,2,1,5,3,2,b
Mecatronica,2,3,5,4,1,3,3,4,4,5,5,3,2,1,4,2,3,3,5,2,3,1,3,5,b
Gestion,1,3,2,3,2,4,3,2,3,3,1,5,2,3,2,5,1,1,1,1,4,3,1,2,e
Contaduria,4,1,3,2,5,4,1,4,1,1,3,3,4,1,1,3,1,2,4,3,1,3,4,2,d
Administracion,2,3,1,3,5,5,3,2,3,2,2,4,2,1,2,5,2,2,3,1,5,2,2,3,d
Civil,1,3,4,3,1,1,4,4,1,3,5,1,3,2,5,1,2,4,5,1,1,3,5,2,c
Mecanica,2,3,1,5,1,3,4,2,1,4,2,1,2,2,5,2,2,5,1,1,3,4,1,3,c
Gestion,3,1,2,1,3,5,1,2,2,2,3,2,1,3,1,3,1,3,3,2,3,3,3,1,d
Mecatronica,2,1,1,5,2,2,5,1,1,4,2,3,2,1,4,2,2,4,1,2,1,4,2,3,b
Gestion,1,3,2,3,1,3,4,2,2,3,1,4,1,3,1,5,2,3,3,2,5,3,2,1,e
Industrial,3,1,1,1,3,4,4,1,1,3,3,3,1,4,1,2,1,3,1,2,1,5,3,3,f
Contaduria,4,3,2,3,5,2,1,2,1,2,2,4,5,1,1,3,1,2,3,4,3,3,1,2,d
Software,3,3,1,1,3,4,2,1,4,4,1,2,1,2,1,3,5,3,1,2,3,3,3,5,f
Contaduria,4,3,1,2,4,2,2,1,1,1,1,2,4,1,1,3,1,2,2,4,3,2,2,2,d
Mecatronica,1,1,1,4,3,1,4,1,3,4,1,2,1,2,5,3,1,3,1,2,4,2,3,5,a
Industrial,3,1,1,2,3,4,5,2,1,3,3,1,2,4,1,2,2,2,2,2,2,5,2,3,f
Mecatronica,2,3,1,5,1,3,5,1,1,4,2,2,2,2,4,1,2,4,2,2,3,4,1,3,c
Industrial,1,1,2,3,3,4,4,3,1,1,3,2,1,5,1,2,2,3,3,2,1,5,2,1,c
Industrial,2,3,1,3,1,3,4,2,1,2,2,1,1,3,3,3,2,3,3,2,3,5,3,1,f
Administracion,3,2,1,1,4,5,3,1,2,1,3,3,4,4,1,4,1,2,3,2,4,5,3,1,e
Contaduria,3,3,1,2,4,2,2,2,1,2,3,3,4,2,1,3,1,3,3,4,4,2,1,3,d
Mecatronica,2,5,4,1,1,3,5,2,4,5,2,1,2,4,1,1,4,2,2,2,3,3,3,4,b
Contaduria,3,3,2,3,5,3,1,2,2,3,1,1,4,2,2,1,2,1,1,5,3,1,2,2,e
Contaduria,3,3,1,1,5,4,2,1,4,3,1,2,4,2,2,3,4,3,2,4,4,3,2,2,d
Contaduria,4,3,1,2,4,2,2,4,1,1,2,4,4,1,3,3,1,1,4,4,4,3,3,2,d
Civil,3,2,5,1,3,4,4,4,1,1,5,3,3,2,3,1,1,3,5,2,1,3,3,2,c
Civil,2,1,4,3,1,1,2,4,2,2,4,3,2,1,4,2,3,4,5,1,2,3,5,2,b
Mecanica,2,3,4,4,1,3,5,2,1,3,2,2,2,4,4,1,2,4,2,1,3,4,2,3,c
Civil,1,2,4,1,3,1,5,5,3,3,5,2,3,2,3,1,1,4,5,1,1,3,5,2,c
Mecanica,1,1,3,3,2,3,4,3,2,1,3,1,3,3,3,2,1,5,3,2,1,5,3,2,c
Gestion,1,3,2,1,4,4,3,2,3,3,1,5,1,2,1,5,1,3,1,2,5,2,2,3,e
Mecatronica,2,3,4,4,1,3,5,4,1,5,2,3,2,1,4,2,2,4,3,1,3,1,3,4,c
Contaduria,5,1,2,3,4,2,2,1,3,2,2,4,4,3,1,3,3,1,1,4,4,3,2,1,d
Administracion,2,2,3,2,3,5,1,1,1,1,4,5,2,1,2,4,1,1,1,1,4,2,2,2,e
Software,1,4,2,3,1,4,1,1,4,5,3,5,1,2,1,3,4,3,3,2,4,2,2,4,a
Civil,2,1,4,1,1,1,1,5,1,2,5,2,1,1,1,2,2,2,5,3,2,2,5,3,c
Mecanica,1,3,5,3,2,3,4,3,1,1,3,1,2,3,5,2,1,4,3,1,1,4,3,2,c
Mecatronica,2,1,1,4,1,3,4,3,1,5,2,3,1,1,4,2,3,4,3,1,2,1,2,4,c
Industrial,4,2,3,1,3,4,5,1,2,1,1,2,4,4,3,3,2,3,1,2,1,5,2,1,e
Mecatronica,1,1,1,5,3,2,4,1,1,4,1,2,1,2,4,1,2,4,1,2,1,2,2,4,b
Gestion,1,3,2,3,1,4,3,2,3,3,1,4,2,2,2,5,1,1,2,1,5,2,2,3,e
Mecatronica,3,2,4,4,3,1,4,3,2,3,5,1,3,1,4,1,3,4,5,1,2,1,5,5,b
Civil,2,3,4,1,1,1,2,4,4,1,5,3,2,1,3,3,1,3,5,2,3,3,3,3,b
Mecatronica,3,2,3,4,3,1,4,1,3,4,1,2,3,2,3,1,3,4,1,2,2,1,2,4,a
Administracion,2,3,3,3,4,5,1,2,2,2,3,4,1,3,1,5,2,2,3,1,5,1,1,1,e
Administracion,3,1,2,1,4,4,1,1,2,3,3,2,3,3,1,3,1,1,3,3,5,3,2,1,d
Software,2,5,2,2,1,3,1,3,4,5,2,1,1,1,1,1,5,2,2,1,2,2,1,4,a
Gestion,1,2,1,3,3,4,1,1,3,1,1,5,1,2,2,4,1,1,1,2,4,2,2,2,e
Gestion,1,2,2,2,2,4,1,1,2,1,1,4,1,2,3,4,2,3,1,2,5,2,2,1,e
Civil,2,1,5,4,1,2,4,4,2,2,5,3,1,1,4,2,2,3,4,2,3,2,5,3,b
Gestion,3,2,2,3,3,4,3,2,2,3,1,5,3,3,2,4,1,2,1,3,3,1,3,1,e
Gestion,3,1,2,3,1,4,1,1,1,3,3,4,1,2,1,5,2,2,2,2,5,2,2,3,e
